Date,Time,L,R,Bottle,Amount,Breast,Formula,Food,Quantity,Response,Notes
2016-09-04,9:09:28 AM,539,,,,,,,,,
2016-09-04,7:58:34 AM,,614,,,,,,,,
2016-09-04,7:01:34 AM,559,,,,,,,,,
2016-09-04,4:19:10 AM,,589,,,,,,,,
2016-09-03,8:30:08 PM,416,1521.805,,,,,,,,
2016-09-03,7:23:16 PM,1680.381,712,,,,,,,,
2016-09-03,6:57:38 PM,512,,,,,,,,,
2016-09-03,5:50:05 PM,,472,,,,,,,,
2016-09-03,4:31:07 PM,906,,,,,,,,,
2016-09-03,3:04:22 PM,,1298,,,,,,,,
2016-09-03,2:20:53 PM,751,,,,,,,,,
2016-09-03,1:46:02 PM,,840,,,,,,,,
2016-09-03,11:52:59 AM,299,,,,,,,,,
2016-09-03,11:34:33 AM,469,,,,,,,,,
2016-09-03,10:45:12 AM,,826,,,,,,,,
2016-09-03,10:11:09 AM,843,,,,,,,,,
2016-09-03,8:51:00 AM,,545,,,,,,,,
2016-09-03,8:00:54 AM,936,,,,,,,,,
2016-09-03,5:32:59 AM,334,1072.466,,,,,,,,
2016-09-03,2:53:28 AM,771,,,,,,,,,
2016-09-02,11:58:05 PM,,886,,,,,,,,
2016-09-02,8:02:28 PM,1881,,,,,,,,,
2016-09-02,7:14:17 PM,,1489,,,,,,,,
2016-09-02,6:42:27 PM,549,3.245044,,,,,,,,
2016-09-02,5:58:45 PM,,915,,,,,,,,
2016-09-02,5:14:08 PM,913,,,,,,,,,
2016-09-02,4:29:47 PM,601,,,,,,,,,
2016-09-02,2:04:06 PM,,1023,,,,,,,,
2016-09-02,12:45:37 PM,1103,,,,,,,,,
2016-09-02,12:09:36 PM,478,,,,,,,,,
2016-09-02,10:55:00 AM,,1260,,,,,,,,
2016-09-02,9:35:49 AM,668,,,,,,,,,
2016-09-02,8:44:51 AM,,427,,,,,,,,
2016-09-02,7:45:21 AM,,336,,,,,,,,
2016-09-02,6:26:09 AM,1263,,,,,,,,,
2016-09-02,3:08:19 AM,,600,,,,,,,,
2016-09-02,12:08:11 AM,552,,,,,,,,,
2016-09-01,7:56:06 PM,878,1990.68,,,,,,,,
2016-09-01,7:28:40 PM,,91,,,,,,,,
2016-09-01,6:41:34 PM,1113,,,,,,,,,
2016-09-01,5:59:34 PM,671,,,,,,,,,
2016-09-01,4:50:11 PM,667,,,,,,,,,
2016-09-01,3:58:59 PM,,1004,,,,,,,,
2016-09-01,2:57:17 PM,,1135,,,,,,,,
2016-09-01,1:58:42 PM,924,,,,,,,,,
2016-09-01,12:29:38 PM,,1150,,,,,,,,
2016-09-01,11:06:33 AM,,300,,,,,,,,
2016-09-01,10:20:59 AM,569,,,,,,,,,
2016-09-01,9:31:40 AM,,987,,,,,,,,
2016-09-01,7:18:42 AM,636,,,,,,,,,
2016-09-01,5:49:34 AM,,840,,,,,,,,
2016-09-01,2:55:02 AM,,182,,,,,,,,
2016-09-01,2:00:53 AM,2273,,,,,,,,,
2016-08-31,8:42:58 PM,1268,,,,,,,,,
2016-08-31,7:47:59 PM,723.5082,764.4833,,,,,,,,
2016-08-31,7:19:45 PM,515,,,,,,,,,
2016-08-31,6:31:56 PM,,604,,,,,,,,
2016-08-31,5:32:19 PM,809,,,,,,,,,
2016-08-31,4:11:43 PM,,2182,,,,,,,,
2016-08-31,3:19:33 PM,,1296,,,,,,,,
2016-08-31,2:10:11 PM,768,,,,,,,,,
2016-08-31,12:55:07 PM,,615,,,,,,,,
2016-08-31,11:22:06 AM,657,,,,,,,,,
2016-08-31,10:06:27 AM,,853,,,,,,,,
2016-08-31,9:00:27 AM,771,,,,,,,,,
2016-08-31,8:03:28 AM,780,,,,,,,,,
2016-08-31,7:03:22 AM,,889,,,,,,,,
2016-08-31,4:04:17 AM,787,,,,,,,,,
2016-08-31,12:26:13 AM,,638,,,,,,,,
2016-08-30,8:22:38 PM,1165,,,,,,,,,
2016-08-30,7:25:00 PM,,1284.956,,,,,,,,
2016-08-30,6:56:09 PM,,499,,,,,,,,
2016-08-30,6:14:51 PM,709,,,,,,,,,
2016-08-30,5:17:00 PM,,700,,,,,,,,
2016-08-30,2:10:41 PM,868,,,,,,,,,
2016-08-30,1:23:40 PM,,579,,,,,,,,
2016-08-30,12:26:51 PM,1200,,,,,,,,,
2016-08-30,11:02:26 AM,,2021,,,,,,,,
2016-08-30,9:26:16 AM,801,,,,,,,,,
2016-08-30,8:27:10 AM,,624,,,,,,,,
2016-08-30,6:57:23 AM,716,,,,,,,,,
2016-08-30,4:47:20 AM,,802,,,,,,,,
2016-08-29,9:42:33 PM,462,,,,,,,,,
2016-08-29,7:57:40 PM,,2673,,,,,,,,
2016-08-29,7:30:04 PM,629,,,,,,,,,
2016-08-29,6:34:54 PM,,669,,,,,,,,
2016-08-29,4:23:32 PM,678.7084,,,,,,,,,
2016-08-29,3:37:46 PM,,1450,,,,,,,,
2016-08-29,1:45:24 PM,2015,,,,,,,,,
2016-08-29,12:31:48 PM,413,812,,,,,,,,
2016-08-29,11:17:11 AM,,1731,,,,,,,,
2016-08-29,9:55:49 AM,309,583.9724,,,,,,,,
2016-08-29,8:43:42 AM,629,,,,,,,,,
2016-08-29,7:38:00 AM,3,704,,,,,,,,
2016-08-29,7:03:39 AM,,904,,,,,,,,
2016-08-29,6:06:49 AM,444,,,,,,,,,
2016-08-29,5:32:00 AM,259.0771,,,,,,,,,
2016-08-29,5:20:24 AM,459,,,,,,,,,
2016-08-29,3:50:52 AM,,728,,,,,,,,
2016-08-29,1:28:52 AM,1033,,,,,,,,,
2016-08-28,8:58:12 PM,,594,,,,,,,,
2016-08-28,8:34:34 PM,,960,,,,,,,,
2016-08-28,7:39:55 PM,678,,,,,,,,,
2016-08-28,6:52:45 PM,,782,,,,,,,,
2016-08-28,5:45:29 PM,649,,,,,,,,,
2016-08-28,4:51:00 PM,,1260,,,,,,,,
2016-08-28,3:33:03 PM,1080,694.2085,,,,,,,,
2016-08-28,1:38:26 PM,1923,,,,,,,,,
2016-08-28,12:49:49 PM,,960,,,,,,,,
2016-08-28,11:31:18 AM,977,,,,,,,,,
2016-08-28,9:54:28 AM,,453,,,,,,,,
2016-08-28,8:44:10 AM,748,,,,,,,,,
2016-08-28,6:59:14 AM,,1278,,,,,,,,
2016-08-28,4:39:07 AM,630,,,,,,,,,
2016-08-28,1:35:19 AM,,795,,,,,,,,
2016-08-27,7:19:30 PM,,183,,,,,,,,
2016-08-27,5:42:20 PM,755,,,,,,,,,
2016-08-27,4:34:31 PM,,701,,,,,,,,
2016-08-27,3:43:19 PM,887,,,,,,,,,
2016-08-27,1:47:43 PM,,909,,,,,,,,
2016-08-27,11:42:27 AM,720,,,,,,,,,
2016-08-27,10:34:20 AM,,826,,,,,,,,
2016-08-27,8:39:09 AM,555,180,,,,,,,,
2016-08-27,7:28:05 AM,840,,,,,,,,,
2016-08-27,6:22:02 AM,,897,,,,,,,,
2016-08-27,3:29:31 AM,,460,,,,,,,,
2016-08-27,2:54:50 AM,638,,,,,,,,,
2016-08-26,9:13:33 PM,2156.944,262,,,,,,,,
2016-08-26,7:58:16 PM,,1462,,,,,,,,
2016-08-26,6:43:21 PM,978.0578,555.7591,,,,,,,,
2016-08-26,6:02:14 PM,,688.06,,,,,,,,
2016-08-26,5:06:01 PM,672,,,,,,,,,
2016-08-26,3:28:59 PM,,570.8896,,,,,,,,
2016-08-26,2:32:37 PM,490,410.3827,,,,,,,,
2016-08-26,1:37:57 PM,,863,,,,,,,,
2016-08-26,12:39:38 PM,910,,,,,,,,,
2016-08-26,11:33:52 AM,284,709,,,,,,,,
2016-08-26,9:02:34 AM,512,938,,,,,,,,
2016-08-26,7:14:43 AM,925,,,,,,,,,
2016-08-26,6:21:06 AM,,924,,,,,,,,
2016-08-26,3:23:02 AM,903,,,,,,,,,
2016-08-25,8:43:47 PM,,600,,,,,,,,
2016-08-25,7:30:32 PM,1055,167,,,,,,,,
2016-08-25,6:41:50 PM,313.2103,674,,,,,,,,
2016-08-25,5:45:57 PM,1027,,,,,,,,,
2016-08-25,4:44:54 PM,,615,,,,,,,,
2016-08-25,3:31:04 PM,453,671.6963,,,,,,,,
2016-08-25,2:45:18 PM,,1469,,,,,,,,
2016-08-25,1:52:27 PM,588,,,,,,,,,
2016-08-25,11:02:22 AM,,900,,,,,,,,
2016-08-25,9:58:51 AM,953,,,,,,,,,
2016-08-25,8:49:02 AM,,1472,,,,,,,,
2016-08-25,7:29:22 AM,677,,,,,,,,,
2016-08-25,6:06:48 AM,,881,,,,,,,,
2016-08-25,3:14:23 AM,660,,,,,,,,,
2016-08-24,8:15:43 PM,,1304,,,,,,,,
2016-08-24,7:04:21 PM,603,388.0563,,,,,,,,
2016-08-24,5:44:13 PM,763,487,,,,,,,,
2016-08-24,4:45:05 PM,372,,,,,,,,,
2016-08-24,3:45:50 PM,900,,,,,,,,,
2016-08-24,2:34:28 PM,202.8957,655,,,,,,,,
2016-08-24,1:53:53 PM,1475,,,,,,,,,
2016-08-24,1:08:49 PM,,878,,,,,,,,
2016-08-24,12:11:31 PM,409,,,,,,,,,
2016-08-24,11:43:08 AM,755,,,,,,,,,
2016-08-24,10:42:51 AM,,1083,,,,,,,,
2016-08-24,8:47:03 AM,582,,,,,,,,,
2016-08-24,7:49:30 AM,,980,,,,,,,,
2016-08-24,6:55:38 AM,,368,,,,,,,,
2016-08-24,5:23:56 AM,764,,,,,,,,,
2016-08-24,2:27:09 AM,,814,,,,,,,,
2016-08-23,7:23:00 PM,1939,453.9043,,,,,,,,
2016-08-23,6:42:08 PM,614,537.0922,,,,,,,,
2016-08-23,5:44:39 PM,602,,,,,,,,,
2016-08-23,4:28:35 PM,60,1080,,,,,,,,
2016-08-23,3:31:54 PM,518,,,,,,,,,
2016-08-23,1:49:48 PM,,723,,,,,,,,
2016-08-23,12:55:24 PM,738,,,,,,,,,
2016-08-23,11:41:44 AM,,2228,,,,,,,,
2016-08-23,9:19:44 AM,727,,,,,,,,,
2016-08-23,8:20:23 AM,,1254,,,,,,,,
2016-08-23,6:31:34 AM,564,,,,,,,,,
2016-08-23,4:35:21 AM,,564,,,,,,,,
2016-08-23,4:16:43 AM,,168,,,,,,,,
2016-08-23,3:43:54 AM,505,,,,,,,,,
2016-08-22,7:41:06 PM,674.9559,518,,,,,,,,
2016-08-22,5:54:33 PM,511,1380,,,,,,,,
2016-08-22,5:15:53 PM,1003,,,,,,,,,
2016-08-22,2:24:59 PM,196.9756,1500,,,,,,,,
2016-08-22,1:11:14 PM,900,,,,,,,,,
2016-08-22,12:15:11 PM,456,823,,,,,,,,
2016-08-22,11:29:15 AM,619,,,,,,,,,
2016-08-22,9:21:39 AM,,1200,,,,,,,,
2016-08-22,8:16:58 AM,1163,,,,,,,,,
2016-08-22,6:50:39 AM,,1232,,,,,,,,
2016-08-22,5:23:33 AM,670,4,,,,,,,,
2016-08-22,1:56:41 AM,360,621,,,,,,,,
2016-08-21,7:23:58 PM,1593.564,1542.893,,,,,,,,
2016-08-21,5:40:47 PM,2156,1383,,,,,,,,
2016-08-21,3:54:44 PM,1355.567,,,,,,,,,
2016-08-21,3:25:48 PM,,279,,,,,,,,
2016-08-21,2:28:04 PM,,288,,,,,,,,
2016-08-21,1:42:41 PM,1007,,,,,,,,,
2016-08-21,12:36:25 PM,,939.27,,,,,,,,
2016-08-21,10:09:48 AM,1003,,,,,,,,,
2016-08-21,9:08:31 AM,,1174,,,,,,,,
2016-08-21,8:13:12 AM,,649,,,,,,,,
2016-08-21,6:58:13 AM,651,,,,,,,,,
2016-08-21,5:34:19 AM,,424,,,,,,,,
2016-08-21,1:49:52 AM,1176,254,,,,,,,,
2016-08-20,8:38:59 PM,,413,,,,,,,,
2016-08-20,7:21:43 PM,999,,,,,,,,,
2016-08-20,6:46:09 PM,5,859,,,,,,,,
2016-08-20,5:16:52 PM,612,835,,,,,,,,
2016-08-20,3:17:13 PM,866,,,,,,,,,
2016-08-20,2:01:46 PM,,616,,,,,,,,
2016-08-20,1:08:28 PM,1212,,,,,,,,,
2016-08-20,12:13:13 PM,,850,,,,,,,,
2016-08-20,10:20:54 AM,720,,,,,,,,,
2016-08-20,9:17:31 AM,,837,,,,,,,,
2016-08-20,7:42:51 AM,745,,,,,,,,,
2016-08-20,6:56:39 AM,194,,,,,,,,,
2016-08-20,6:39:08 AM,263,,,,,,,,,
2016-08-20,4:48:29 AM,,1466,,,,,,,,
2016-08-20,1:18:18 AM,585,,,,,,,,,
2016-08-19,6:50:49 PM,370,1676,,,,,,,,
2016-08-19,5:49:35 PM,736,785,,,,,,,,
2016-08-19,5:05:43 PM,965,,,,,,,,,
2016-08-19,3:52:05 PM,,565,,,,,,,,
2016-08-19,3:17:42 PM,,477,,,,,,,,
2016-08-19,2:31:26 PM,723,,,,,,,,,
2016-08-19,12:20:25 PM,,651,,,,,,,,
2016-08-19,11:23:54 AM,1368,,,,,,,,,
2016-08-19,9:38:36 AM,1135,748,,,,,,,,
2016-08-19,8:24:35 AM,,1149,,,,,,,,
2016-08-19,7:37:02 AM,466,,,,,,,,,
2016-08-19,6:54:20 AM,156,,,,,,,,,
2016-08-19,5:08:32 AM,,1748,,,,,,,,
